Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label,
157.240.13.14-192.168.10.104-443-53277-6,172.16.10.251,53277,157.240.13.14,443,6,22/07/2019 02:34:01 PM,119725726,35,46,617,3654,33,0,17.62857143,16.41750449,1360,0,79.43478261,216.348654,35.67320193,0.676546326,1496571.575,3073764.898,10709271,1,119332238,3509771.706,3938957.221,10709271,43415,119725726,2660571.689,3779989.512,10848140,447,0,1,0,0,736,920,0.292334832,0.384211494,0,1360,52.47560976,164.497756,27059.51174,0,0,0,1,1,0,0,0,1,53.12345679,17.62857143,79.43478261,0,0,0,0,0,0,35,617,46,3654,-1,189,19,0,2233303,4232087.913,14385282,100010,8641495.818,2201282.222,10709271,5073058,Normal,Normal
192.168.10.2-192.168.10.17-53-52648-6,172.16.10.251,52648,192.168.10.2,53,6,22/07/2019 02:35:00 PM,2927,0,2,0,0,0,0,0,0,0,0,0,0,0,683.2934745,2927,0,2927,2927,0,0,0,0,0,2927,2927,0,2927,2927,0,0,0,0,0,60,0,683.2934745,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,-1,0,0,0,0,0,0,0,0,0,0,0,Normal,Normal
185.82.212.199-192.168.10.9-80-32860-6,172.16.10.251,32860,185.82.212.199,80,6,26/07/2019 12:26:03 PM,64812032,6,1,0,0,0,0,0,0,0,0,0,0,0,0.108004637,10802005.33,12367132.26,33406563,1001322,63810710,12762142,12742308.75,33406563,2016634,0,0,0,0,0,0,0,0,0,240,40,0.092575403,0.015429234,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,1,0,-1,2920,0,0,7087197,0,7087197,7087197,19241611.67,12893461.09,33406563,8189633,Normal,Normal
192.168.10.7-239.255.255.250-0-0-0,172.16.10.251,0,239.255.255.250,0,0,22/07/2019 02:32:46 PM,119825401,6,1,0,0,0,0,0,0,0,0,0,0,0,0.058418332,19970900.17,17080399.97,48978764,785349,107203361,21440672.2,18667441.04,48978764,785349,0,0,0,0,0,0,0,0,0,0,0,0.050072856,0.008345476,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,1,0,-1,-1,0,0,0,0,0,0,23808010.4,15945202,48978764,7989707,Normal,Normal
192.168.10.2-192.168.10.17-53-51416-6,172.16.10.251,51416,192.168.10.2,53,6,22/07/2019 02:33:53 PM,3651,0,2,0,0,0,0,0,0,0,0,0,0,0,547.7951246,3651,0,3651,3651,0,0,0,0,0,3651,3651,0,3651,3651,0,0,0,0,0,60,0,547.7951246,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,-1,0,0,0,0,0,0,0,0,0,0,0,Normal,Normal
192.168.10.104-196.207.156.93-57579-46850-6,172.16.10.251,57579,196.207.156.93,46850,6,22/07/2019 03:17:33 PM,9154991,2,1,0,0,0,0,0,0,0,0,0,0,0,0.327690109,4577495.5,1891200.22,5914776,3240215,5914776,5914776,0,5914776,5914776,0,0,0,0,0,0,0,0,0,64,32,0.218460073,0.109230036,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,-1,64240,0,0,3240215,0,3240215,3240215,5914776,0,5914776,5914776,Normal,Normal
192.168.10.9-35.190.92.63-50666-443-6,172.16.10.251,50666,35.190.92.63,443,6,26/07/2019 12:15:47 PM,16590,0,2,0,0,0,0,0,0,0,0,0,0,0,120.5545509,16590,0,16590,16590,0,0,0,0,0,16590,16590,0,16590,16590,0,0,0,0,0,76,0,120.5545509,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,-1,253,0,0,0,0,0,0,0,0,0,0,Normal,Normal
192.168.10.100-40.90.23.206-64229-443-6,172.16.10.251,443,192.168.10.100,64229,6,26/07/2019 11:57:39 AM,138,0,2,0,0,0,0,0,0,0,0,0,0,0,14492.75362,138,0,138,138,0,0,0,0,0,138,138,0,138,138,0,0,0,0,0,40,0,14492.75362,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,-1,68,0,0,0,0,0,0,0,0,0,0,Normal,Normal
192.168.10.100-239.255.255.250-56831-1900-17,172.16.10.251,56831,239.255.255.250,1900,17,22/07/2019 02:50:40 PM,3001290,3,1,522,174,174,174,174,0,174,174,174,0,231.9002829,1.332760246,1000430,139.5600229,1000586,1000317,2000704,1000352,49.49747468,1000387,1000317,0,0,0,0,0,0,0,0,0,24,8,0.999570185,0.333190062,174,174,174,0,0,0,0,0,0,0,0,0,0,0,217.5,174,174,0,0,0,0,0,0,3,522,1,174,-1,-1,3,0,0,0,0,0,0,0,0,0,Normal,Normal
157.240.13.19-192.168.10.100-443-52962-6,172.16.10.251,443,192.168.10.100,52962,6,22/07/2019 03:07:19 PM,781,1,1,0,0,0,0,0,0,0,0,0,0,0,2560.819462,781,0,781,781,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,1280.409731,1280.409731,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,-1,0,0,0,0,0,0,0,0,0,0,0,Normal,Normal
