Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
170.170.1.0-0.0.0.5-0-0-0,170.170.1.0,0,0.0.0.5,0,0,11/03/2025 01:40:57 PM,8044854,12,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.615939829361726,670404.5,891358.1688377166,3011928.0,0.0,7036652.0,639695.6363636364,928182.7787844668,3011928.0,0.0,0,0,0,0,0,0,0,0,0,0,0,1.49163676556467,0.12430306379705584,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,12,0,1,0,-1,-1,0,0,0,0,0,0,0,0,0,0,No Label
172.16.10.55-34.139.124.58-52058-443-6,172.16.10.55,52058,34.139.124.58,443,6,11/03/2025 01:40:57 PM,8337014,28,29,17443.0,3459.0,1420.0,0.0,622.9642857142856,618.8484815540013,434.0,0.0,119.27586206896551,176.55005290926994,2507.132649651302,6.836980242566463,148875.25,336094.12063420843,1878671.0,0.0,8336979.0,308777.0,456847.06588428136,1878671.0,0.0,6458181.0,230649.32142857142,396848.4995809277,1616587.0,0.0,0,1,0,0,560,616,3.358516610383526,3.4784636321829376,0.0,1420.0,361.98275862068965,511.2901291720267,261417.59618874776,0,0,0,1,1,0,0,0,1.0,368.3333333333333,622.9642857142857,119.27586206896552,0,0,0,0,0,0,28,17443,29,3459,-1,892,21,0,0,0,0,0,0,0,0,0,No Label
172.16.10.152-239.255.255.250-62159-1900-17,172.16.10.152,62159,239.255.255.250,1900,17,11/03/2025 01:40:58 PM,4987820,1,1,276.0,276.0,276.0,276.0,276.0,0.0,276.0,276.0,276.0,0.0,110.66959112397801,0.40097677943470295,4987820.0,0.0,4987820.0,4987820.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,0.20048838971735147,0.20048838971735147,276.0,276.0,276.0,0.0,0.0,0,0,0,0,0,0,0,0,1.0,414.0,276.0,276.0,0,0,0,0,0,0,1,276,1,276,-1,-1,1,0,0,0,0,0,0,0,0,0,No Label
172.16.10.55-40.113.103.199-49435-443-6,172.16.10.55,49435,40.113.103.199,443,6,11/03/2025 01:41:00 PM,160621,0,2,0.0,1.0,0,0,0,0,1.0,0.0,0.5,0.7071067811865476,6.225835974125425,12.45167194825085,160621.0,0.0,160621.0,160621.0,0,0,0,0,0,160621.0,160621.0,0.0,160621.0,160621.0,0,0,0,0,0,52,0.0,12.45167194825085,0.0,1.0,0.6666666666666667,0.5773502691896257,0.3333333333333333,0,0,0,0,1,0,0,0,0.0,1.0,0.0,0.5,0,0,0,0,0,0,0,0,2,1,-1,7310,0,0,0,0,0,0,0,0,0,0,No Label
8.0.6.4-8.6.0.1-0-0-0,8.6.0.1,0,8.0.6.4,0,0,11/03/2025 01:40:57 PM,9117090,42,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.716417190134133,217073.57142857142,209993.3036688624,887871.0,0.0,9099780.0,221945.85365853654,210184.79381529492,887871.0,0.0,0,0,0,0,0,0,0,0,0,0,0,4.606733069433339,0.1096841207007938,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,42,0,1,0,-1,-1,0,0,0,0,0,0,0,0,0,0,No Label
142.250.206.142-172.16.10.55-443-52514-17,172.16.10.55,52514,142.250.206.142,443,17,11/03/2025 01:40:57 PM,248058,3,7,200.0,1811.0,129.0,33.0,66.66666666666667,54.040108561450296,1245.0,25.0,258.7142857142857,454.48898566988186,8106.974981657516,40.31315256915721,27562.0,58357.37661384378,181250.0,0.0,223791.0,111895.5,110722.31533209555,190188.0,33603.0,248058.0,41343.00000000001,77365.3977382654,196877.0,0.0,0,0,0,0,24,56,12.093945770747164,28.21920679841005,25.0,1245.0,296.0,480.96943769848826,231331.6,0,0,0,0,0,0,0,0,2.0,325.6,66.66666666666667,258.7142857142857,0,0,0,0,0,0,3,200,7,1811,-1,-1,3,0,0,0,0,0,0,0,0,0,No Label
172.16.8.2-52.123.168.136-59494-443-6,52.123.168.136,443,172.16.8.2,59494,6,11/03/2025 01:40:58 PM,7248428,7,1,231.0,33.0,33.0,33.0,33.0,0.0,33.0,33.0,33.0,0.0,36.42169033064825,1.1036875857772197,1035489.7142857143,735327.7380054678,2418426.0,303944.0,6944484.0,1157414.0,723863.1048630673,2418426.0,313269.0,0,0,0,0,0,0,1,0,0,140,20,0.9657266375550672,0.13796094822215246,33.0,33.0,33.0,0.0,0.0,0,0,0,1,1,0,0,0,0.0,37.125,33.0,33.0,0,0,0,0,0,0,7,231,1,33,-1,16382,7,0,0,0,0,0,0,0,0,0,No Label
172.16.10.185-172.16.11.255-12223-12223-17,172.16.10.185,12223,172.16.11.255,12223,17,11/03/2025 01:40:57 PM,4999800,1,1,332.0,332.0,332.0,332.0,332.0,0.0,332.0,332.0,332.0,0.0,132.8053122124885,0.4000160006400256,4999800.0,0.0,4999800.0,4999800.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,0.2000080003200128,0.2000080003200128,332.0,332.0,332.0,0.0,0.0,0,0,0,0,0,0,0,0,1.0,498.0,332.0,332.0,0,0,0,0,0,0,1,332,1,332,-1,-1,1,0,0,0,0,0,0,0,0,0,No Label
172.16.10.55-224.0.0.251-5353-5353-17,172.16.10.55,5353,224.0.0.251,5353,17,11/03/2025 01:41:02 PM,797188,5,1,567.0,190.0,247.0,43.0,113.4,98.41138145560197,190.0,190.0,190.0,0.0,949.5878011209401,7.526455491051045,159437.6,143139.79918527202,268195.0,1991.0,793742.0,198435.5,131071.58903311833,268195.0,1991.0,0,0,0,0,0,0,0,0,0,40,8,6.272046242542537,1.2544092485085074,43.0,247.0,135.28571428571428,88.62037817890098,7853.571428571428,0,0,0,0,0,0,0,0,0.0,157.83333333333334,113.4,190.0,0,0,0,0,0,0,5,567,1,190,-1,-1,5,0,0,0,0,0,0,0,0,0,No Label
172.16.9.16-224.0.0.251-5353-5353-17,172.16.9.16,5353,224.0.0.251,5353,17,11/03/2025 01:40:56 PM,8722668,2,1,494.0,247.0,247.0,247.0,247.0,0.0,247.0,247.0,247.0,0.0,84.9510723095273,0.34393146684019155,4361334.0,3336964.1796399313,6720924.0,2001744.0,6720924.0,6720924.0,0.0,6720924.0,6720924.0,0,0,0,0,0,0,0,0,0,16,8,0.22928764456012768,0.11464382228006384,247.0,247.0,247.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,329.3333333333333,247.0,247.0,0,0,0,0,0,0,2,494,1,247,-1,-1,2,0,2001744.0,0.0,2001744.0,2001744.0,6720924.0,0.0,6720924.0,6720924.0,No Label
